MES;CONTADOR;CONTADOR_TIPO;CONTADOR_SENTIDO;ZONA;NUMERO
01/07/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Álava;Vías Verdes - Eurovelo;399
01/07/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Álava;Vías Verdes - Eurovelo;498
01/07/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Aragón;Vías Verdes - Eurovelo;1351
01/07/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Aragón;Vías Verdes - Eurovelo;326
01/07/2019;Vía Verde Irati (Foz Lumbier);Peatones;Liédena - Lumbier;Vías Verdes - Eurovelo;11009
01/07/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Liédena - Lumbier;Vías Verdes - Eurovelo;567
01/07/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;7522
01/07/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;430
01/07/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;7021
01/07/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;60
01/07/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;204
01/07/2019;Monreal;Peatones;Santiago de Compostela;Camino de Santiago;1587
01/07/2019;Urederra;Peatones;Ida;Recursos turístico ;11966
01/07/2019;Las Roscas;Peatones;Vuelta;Recursos turístico ;338
01/07/2019;Xorroxin;Peatones;Vuelta;Recursos turístico ;5059
01/07/2019;Amaiur;Peatones;Ida;Recursos turístico ;6984
01/08/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Pamplona;Vías Verdes - Eurovelo;4938
01/08/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Pamplona;Vías Verdes - Eurovelo;2243
01/08/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;1451
01/08/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;5199
01/08/2019;Vía Verde Plazaola (Lekunberri);Bicicletas;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;1190
01/08/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;10283
01/08/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Álava;Vías Verdes - Eurovelo;635
01/08/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Álava;Vías Verdes - Eurovelo;495
01/08/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Aragón;Vías Verdes - Eurovelo;1794
01/08/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Aragón;Vías Verdes - Eurovelo;397
01/08/2019;Vía Verde Irati (Foz Lumbier);Peatones;Lumbier - Liédena;Vías Verdes - Eurovelo;22306
01/08/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Liédena - Lumbier;Vías Verdes - Eurovelo;697
01/08/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;7353
01/08/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;566
01/08/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;6895
01/08/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;33
01/08/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;96
01/08/2019;Monreal;Peatones;Santiago de Compostela;Camino de Santiago;2795
01/08/2019;Urederra;Peatones;Ida;Recursos turístico ;17038
01/08/2019;Las Roscas;Peatones;Ida;Recursos turístico ;481
01/08/2019;Xorroxin;Peatones;Vuelta;Recursos turístico ;9993
01/08/2019;Amaiur;Peatones;Ida;Recursos turístico ;12219
01/09/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Pamplona;Vías Verdes - Eurovelo;3270
01/09/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Pamplona;Vías Verdes - Eurovelo;1398
01/09/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;1172
01/09/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;2940
01/09/2019;Vía Verde Plazaola (Lekunberri);Bicicletas;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;542
01/09/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;5061
01/09/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Álava;Vías Verdes - Eurovelo;390
01/09/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Álava;Vías Verdes - Eurovelo;337
01/09/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Aragón;Vías Verdes - Eurovelo;1449
01/09/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Aragón;Vías Verdes - Eurovelo;395
01/09/2019;Vía Verde Irati (Foz Lumbier);Peatones;Lumbier - Liédena;Vías Verdes - Eurovelo;9609
01/09/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Lumbier - Liédena;Vías Verdes - Eurovelo;380
01/09/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;9401
01/09/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;631
01/09/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;10915
01/09/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;98
01/09/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;122
01/09/2019;Monreal;Peatones;Santiago de Compostela;Camino de Santiago;1810
01/09/2019;Urederra;Peatones;Ida;Recursos turístico ;9205
01/09/2019;Las Roscas;Peatones;Ida;Recursos turístico ;423
01/09/2019;Xorroxin;Peatones;Vuelta;Recursos turístico ;3736
01/09/2019;Amaiur;Peatones;Ida;Recursos turístico ;9229
01/10/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Pamplona;Vías Verdes - Eurovelo;2527
01/10/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Pamplona;Vías Verdes - Eurovelo;872
01/10/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;1399
01/10/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;2574
01/10/2019;Vía Verde Plazaola (Lekunberri);Bicicletas;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;345
01/10/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;789
01/10/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Álava;Vías Verdes - Eurovelo;390
01/10/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Estella;Vías Verdes - Eurovelo;404
01/10/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Aragón;Vías Verdes - Eurovelo;1645
01/10/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Aragón;Vías Verdes - Eurovelo;346
01/10/2019;Vía Verde Irati (Foz Lumbier);Peatones;Lumbier - Liédena;Vías Verdes - Eurovelo;8940
01/10/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Liédena - Lumbier;Vías Verdes - Eurovelo;329
01/10/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;4780
01/10/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;223
01/10/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;6047
01/10/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;133
01/10/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;296
01/10/2019;Monreal;Peatones;Santiago de Compostela;Camino de Santiago;1349
01/10/2019;Urederra;Peatones;Ida;Recursos turístico ;8447
01/10/2019;Las Roscas;Peatones;Ida;Recursos turístico ;372
01/10/2019;Xorroxin;Peatones;Vuelta;Recursos turístico ;3323
01/10/2019;Amaiur;Peatones;Ida;Recursos turístico ;5557
01/11/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Pamplona;Vías Verdes - Eurovelo;1911
01/11/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;265
01/11/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;1141
01/11/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;1117
01/11/2019;Vía Verde Plazaola (Lekunberri);Bicicletas;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;74
01/11/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;466
01/11/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Estella;Vías Verdes - Eurovelo;123
01/11/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Álava;Vías Verdes - Eurovelo;398
01/11/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Aragón;Vías Verdes - Eurovelo;1014
01/11/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Aragón;Vías Verdes - Eurovelo;282
01/11/2019;Vía Verde Irati (Foz Lumbier);Peatones;Lumbier - Liédena;Vías Verdes - Eurovelo;5461
01/11/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Lumbier - Liédena;Vías Verdes - Eurovelo;72
01/11/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;554
01/11/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;53
01/11/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;548
01/11/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;16
01/11/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;90
01/11/2019;Monreal;Peatones;Santiago de Compostela;Camino de Santiago;713
01/11/2019;Urederra;Peatones;Ida;Recursos turístico ;4357
01/11/2019;Las Roscas;Peatones;Vuelta;Recursos turístico ;154
01/11/2019;Xorroxin;Peatones;Vuelta;Recursos turístico ;1055
01/11/2019;Amaiur;Peatones;Ida;Recursos turístico ;2785
