"MES";"CONTADOR";"CONTADOR_TIPO";"CONTADOR_SENTIDO";"ZONA";"NUMERO";"TRIMESTRE";"YEAR"
2019-04-01;"Via Verde Vasco-Navarro (Ancín)";"Peatones";"Ancín - Estella";"Vías Verdes - Eurovelo";2324;"2019-2";2019
2019-04-01;"Via Verde Vasco-Navarro (Ancín)";"Bicicletas";"Ancín - Estella";"Vías Verdes - Eurovelo";306;"2019-2";2019
2019-04-01;"Via Verde Vasco-Navarro (Ancín)";"Coches";"Ancín - Álava";"Vías Verdes - Eurovelo";450;"2019-2";2019
2019-04-01;"Via Verde Tarazonica (Cascante)";"Peatones";"Cascante - Tudela ";"Vías Verdes - Eurovelo";81;"2019-2";2019
2019-04-01;"Via Verde Tarazonica (Cascante)";"Bicicletas";"Cascante - Tudela ";"Vías Verdes - Eurovelo";8;"2019-2";2019
2019-04-01;"Vía Verde Irati (Foz Lumbier)";"Peatones";"Lumbier - Liédena";"Vías Verdes - Eurovelo";12757;"2019-2";2019
2019-04-01;"Vía Verde Irati (Foz Lumbier)";"Bicicletas";"Lumbier - Liédena";"Vías Verdes - Eurovelo";281;"2019-2";2019
2019-04-01;"Aurizberri-Espinal ";"Peatones";"Santiago de Compostela";"Camino de Santiago";9579;"2019-2";2019
2019-04-01;"Aurizberri-Espinal ";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";342;"2019-2";2019
2019-04-01;"Puente la Reina-Gares";"Peatones";"Santiago de Compostela";"Camino de Santiago";10128;"2019-2";2019
2019-04-01;"Puente la Reina-Gares";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";185;"2019-2";2019
2019-04-01;"Puente la Reina-Gares";"Coches";"Santiago de Compostela";"Camino de Santiago";218;"2019-2";2019
2019-04-01;"Monreal";"Peatones";"Santiago de Compostela";"Camino de Santiago";1492;"2019-2";2019
2019-04-01;"Urederra";"Peatones";"Ida";"Recursos turístico ";9607;"2019-2";2019
2019-04-01;"Las Roscas";"Peatones";"Ida";"Recursos turístico ";1734;"2019-2";2019
2019-04-01;"Xorroxin";"Peatones";"Ida";"Recursos turístico ";1898;"2019-2";2019
2019-04-01;"Amaiur";"Peatones";"Ida";"Recursos turístico ";7004;"2019-2";2019
2019-05-01;"Vía Verde Bidasoa (Doneztebe)";"Peatones";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";9042;"2019-2";2019
2019-05-01;"Vía Verde Bidasoa (Doneztebe)";"Bicicletas";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";1207;"2019-2";2019
2019-05-01;"Vía Verde Bidasoa (Doneztebe)";"Coches";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";1822;"2019-2";2019
2019-05-01;"Vía Verde Plazaola (Lekunberri)";"Peatones";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";5899;"2019-2";2019
2019-05-01;"Vía Verde Plazaola (Lekunberri)";"Bicicletas";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";521;"2019-2";2019
2019-05-01;"Via Verde Vasco-Navarro (Ancín)";"Peatones";"Ancín - Estella";"Vías Verdes - Eurovelo";6059;"2019-2";2019
2019-05-01;"Via Verde Vasco-Navarro (Ancín)";"Bicicletas";"Ancín - Álava";"Vías Verdes - Eurovelo";289;"2019-2";2019
2019-05-01;"Via Verde Vasco-Navarro (Ancín)";"Coches";"Ancín - Estella";"Vías Verdes - Eurovelo";522;"2019-2";2019
2019-05-01;"Via Verde Tarazonica (Cascante)";"Peatones";"Cascante - Aragón";"Vías Verdes - Eurovelo";19;"2019-2";2019
2019-05-01;"Via Verde Tarazonica (Cascante)";"Bicicletas";"Cascante - Aragón";"Vías Verdes - Eurovelo";8;"2019-2";2019
2019-05-01;"Vía Verde Irati (Foz Lumbier)";"Peatones";"Lumbier - Liédena";"Vías Verdes - Eurovelo";9240;"2019-2";2019
2019-05-01;"Vía Verde Irati (Foz Lumbier)";"Bicicletas";"Lumbier - Liédena";"Vías Verdes - Eurovelo";448;"2019-2";2019
2019-05-01;"Aurizberri-Espinal ";"Peatones";"Santiago de Compostela";"Camino de Santiago";12072;"2019-2";2019
2019-05-01;"Aurizberri-Espinal ";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";634;"2019-2";2019
2019-05-01;"Aurizberri-Espinal ";"Coches";"Santiago de Compostela";"Camino de Santiago";60;"2019-2";2019
2019-05-01;"Puente la Reina-Gares";"Peatones";"Santiago de Compostela";"Camino de Santiago";13850;"2019-2";2019
2019-05-01;"Puente la Reina-Gares";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";296;"2019-2";2019
2019-05-01;"Puente la Reina-Gares";"Coches";"Santiago de Compostela";"Camino de Santiago";187;"2019-2";2019
2019-05-01;"Monreal";"Peatones";"Santiago de Compostela";"Camino de Santiago";1665;"2019-2";2019
2019-05-01;"Urederra";"Peatones";"Vuelta";"Recursos turístico ";7275;"2019-2";2019
2019-05-01;"Las Roscas";"Peatones";"Ida";"Recursos turístico ";2141;"2019-2";2019
2019-05-01;"Xorroxin";"Peatones";"Ida";"Recursos turístico ";890;"2019-2";2019
2019-05-01;"Amaiur";"Peatones";"Ida";"Recursos turístico ";4578;"2019-2";2019
2019-06-01;"Vía Verde Bidasoa (Doneztebe)";"Peatones";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";9136;"2019-2";2019
2019-06-01;"Vía Verde Bidasoa (Doneztebe)";"Bicicletas";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";1153;"2019-2";2019
2019-06-01;"Vía Verde Bidasoa (Doneztebe)";"Coches";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";1139;"2019-2";2019
2019-06-01;"Vía Verde Plazaola (Lekunberri)";"Peatones";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";4853;"2019-2";2019
2019-06-01;"Vía Verde Plazaola (Lekunberri)";"Bicicletas";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";522;"2019-2";2019
2019-06-01;"Via Verde Vasco-Navarro (Ancín)";"Peatones";"Ancín - Estella";"Vías Verdes - Eurovelo";5416;"2019-2";2019
2019-06-01;"Via Verde Vasco-Navarro (Ancín)";"Bicicletas";"Ancín - Estella";"Vías Verdes - Eurovelo";332;"2019-2";2019
2019-06-01;"Via Verde Vasco-Navarro (Ancín)";"Coches";"Ancín - Álava";"Vías Verdes - Eurovelo";526;"2019-2";2019
2019-06-01;"Via Verde Tarazonica (Cascante)";"Peatones";"Cascante - Aragón";"Vías Verdes - Eurovelo";922;"2019-2";2019
2019-06-01;"Via Verde Tarazonica (Cascante)";"Bicicletas";"Cascante - Aragón";"Vías Verdes - Eurovelo";238;"2019-2";2019
2019-06-01;"Vía Verde Irati (Foz Lumbier)";"Peatones";"Liédena - Lumbier";"Vías Verdes - Eurovelo";10039;"2019-2";2019
2019-06-01;"Vía Verde Irati (Foz Lumbier)";"Bicicletas";"Liédena - Lumbier";"Vías Verdes - Eurovelo";355;"2019-2";2019
2019-06-01;"Aurizberri-Espinal ";"Peatones";"Santiago de Compostela";"Camino de Santiago";9244;"2019-2";2019
2019-06-01;"Aurizberri-Espinal ";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";481;"2019-2";2019
2019-06-01;"Aurizberri-Espinal ";"Coches";"Santiago de Compostela";"Camino de Santiago";1;"2019-2";2019
2019-06-01;"Puente la Reina-Gares";"Peatones";"Santiago de Compostela";"Camino de Santiago";6769;"2019-2";2019
2019-06-01;"Puente la Reina-Gares";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";142;"2019-2";2019
2019-06-01;"Puente la Reina-Gares";"Coches";"Santiago de Compostela";"Camino de Santiago";252;"2019-2";2019
2019-06-01;"Monreal";"Peatones";"Santiago de Compostela";"Camino de Santiago";2042;"2019-2";2019
2019-06-01;"Urederra";"Peatones";"Ida";"Recursos turístico ";8797;"2019-2";2019
2019-06-01;"Las Roscas";"Peatones";"Vuelta";"Recursos turístico ";1266;"2019-2";2019
2019-06-01;"Xorroxin";"Peatones";"Vuelta";"Recursos turístico ";2747;"2019-2";2019
2019-06-01;"Amaiur";"Peatones";"Ida";"Recursos turístico ";6287;"2019-2";2019
2019-07-01;"Vía Verde Bidasoa (Doneztebe)";"Peatones";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";3947;"2019-3";2019
2019-07-01;"Vía Verde Bidasoa (Doneztebe)";"Bicicletas";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";1821;"2019-3";2019
